id,label
9586,9
6984,6
7047,7
2510,2
34,0
2338,2
6181,6
4086,3
3682,3
560,0
3373,3
7608,7
6064,6
9033,9
9394,9
6102,6
1574,5
9083,9
5848,5
7325,7
3375,3
1982,1
3360,3
2589,2
4967,4
4326,4
4747,4
8550,8
8469,8
8746,8
1605,1
4594,4
5173,5
9231,1
3291,3
5198,5
3262,3
1136,1
782,0
2220,2
7318,8
4079,4
5203,5
9241,9
7526,1
5802,5
3886,3
1957,1
700,0
2949,2
8626,8
8030,8
8998,0
8551,8
1724,1
9453,9
1333,1
189,0
1156,1
4485,4
6290,6
2148,2
99,0
1636,1
2849,2
5397,5
8659,8
9952,9
4714,4
5646,0
2083,2
4599,8
4267,4
8180,8
491,0
729,0
3899,3
7590,7
1103,1
3221,3
435,0
6993,7
7036,7
454,0
3914,3
8668,8
4324,4
4902,4
2203,2
13,0
2716,2
2017,2
9181,9
9277,9
4067,4
3673,3
3514,3
459,0
805,0
4420,4
5985,5
8982,8
3462,3
6128,6
1776,5
9737,9
80,0
6191,6
6195,6
5206,5
3010,3
7210,7
1378,1
6122,6
372,0
5771,5
2162,2
1827,1
6612,6
6849,6
7072,7
4856,4
5920,5
366,0
875,0
9295,9
6781,6
6242,6
3926,3
9103,0
7539,7
9910,9
2201,9
9049,9
6722,6
897,0
3502,3
5842,5
6077,6
1816,1
4586,4
9370,9
9481,2
4347,4
3381,8
3875,3
5830,5
1578,1
8896,8
3769,3
9228,9
6843,6
2985,2
1,0
9787,9
2005,2
5395,5
7270,7
1622,4
600,0
9784,9
9326,9
3096,3
7570,7
3277,3
2126,2
1831,1
9678,9
1004,1
2425,2
8462,8
2808,2
3538,3
2930,2
7070,1
3620,3
160,0
2310,2
1645,1
1375,1
5930,5
3066,3
6845,6
2036,2
1077,1
7864,7
5034,5
9713,9
466,8
1144,1
1228,1
3421,3
4876,4
6743,6
7893,7
3963,3
8781,8
5510,5
8777,8
5645,5
2281,2
3002,3
7160,7
8154,8
5733,5
6346,6
9875,9
4270,4
5225,5
565,0
5287,5
4841,4
5084,5
8073,8
3253,3
3905,3
2821,2
9865,9
